frac_adjs,frac_advbs,frac_neg,frac_nouns,frac_pos,has_cardinal,has_modal,has_pronoun,n_adjs,n_advbs,n_nouns,raw,sentiment,opinionated
0.0,0.0,0.0,0.0833333333333,0.0,1,0,1,0,0,1,0,-1.0,1.0
0.0,0.285714285714,0.142857142857,0.142857142857,0.0,0,0,0,0,2,1,-1,-1.0,1.0
0.0526315789474,0.157894736842,0.0526315789474,0.105263157895,0.0,1,0,1,1,3,2,-1,-1.0,1.0
0.0,0.0769230769231,0.0,0.282051282051,0.0,1,0,1,0,3,11,0,-1.0,1.0
0.0217391304348,0.152173913043,0.0434782608696,0.152173913043,0.0217391304348,1,1,1,1,7,7,-1,-1.0,1.0
0.0909090909091,0.181818181818,0.0,0.181818181818,0.0,1,0,1,1,2,2,0,-1.0,1.0
0.0,0.222222222222,0.0,0.333333333333,0.0,0,0,0,0,2,3,0,-1.0,1.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0
0.0588235294118,0.117647058824,0.0,0.235294117647,0.117647058824,1,0,1,1,2,4,2,1.0,1.0
0.142857142857,0.0,0.0,0.0,0.285714285714,1,0,1,1,0,0,2,1.0,1.0
0.111111111111,0.111111111111,0.0,0.111111111111,0.0,1,0,1,1,1,1,0,-1.0,1.0
0.0,0.166666666667,0.166666666667,0.166666666667,0.0,0,0,0,0,1,1,-1,-1.0,1.0
0.0,0.05,0.0,0.1,0.05,1,1,1,0,1,2,1,-1.0,1.0
0.2,0.0,0.0,0.2,0.2,0,0,0,1,0,1,1,-1.0,1.0
0.0,0.307692307692,0.0769230769231,0.0,0.0769230769231,1,0,1,0,4,0,0,0.0,0.0
0.181818181818,0.181818181818,0.0,0.181818181818,0.0909090909091,1,1,1,2,2,2,1,-1.0,1.0
0.190476190476,0.047619047619,0.0,0.238095238095,0.047619047619,0,0,0,4,1,5,1,-1.0,1.0
0.2,0.1,0.0,0.2,0.2,0,0,0,2,1,2,2,1.0,1.0
0.0833333333333,0.0833333333333,0.0277777777778,0.111111111111,0.0277777777778,1,1,1,3,3,4,0,-1.0,1.0
0.0,0.0,0.0,0.333333333333,0.222222222222,0,0,0,0,0,3,2,1.0,1.0
0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0,0,0,1,1,1,1,1.0,1.0
0.142857142857,0.142857142857,0.142857142857,0.0,0.0,1,0,1,1,1,0,-1,-1.0,1.0
0.0625,0.0,0.0,0.375,0.0,1,0,1,1,0,6,0,-1.0,1.0
0.285714285714,0.142857142857,0.142857142857,0.0,0.0,1,0,1,2,1,0,-1,-1.0,1.0
0.0,0.0,0.0,0.25,0.0,1,0,1,0,0,1,0,0.0,0.0
0.333333333333,0.0,0.0,0.333333333333,0.0,0,0,0,1,0,1,0,-1.0,1.0
0.0769230769231,0.0,0.0,0.230769230769,0.0,0,0,0,1,0,3,0,-1.0,1.0
0.166666666667,0.0,0.0,0.333333333333,0.0,0,0,0,1,0,2,0,-1.0,1.0
0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0
0.0588235294118,0.117647058824,0.117647058824,0.0588235294118,0.0,1,0,1,1,2,1,-2,1.0,1.0
0.0,0.25,0.0,0.25,0.0833333333333,0,0,0,0,3,3,1,1.0,1.0
0.0,0.0909090909091,0.0454545454545,0.272727272727,0.0,1,1,1,0,2,6,-1,1.0,1.0
0.0,0.111111111111,0.0555555555556,0.222222222222,0.0555555555556,1,0,1,0,2,4,0,0.0,0.0
0.1,0.1,0.0,0.3,0.0,1,0,1,1,1,3,0,0.0,0.0
0.0909090909091,0.0,0.0909090909091,0.272727272727,0.0,1,0,1,2,0,6,-2,-1.0,1.0
0.125,0.0,0.0,0.125,0.0,1,0,1,1,0,1,0,0.0,0.0
0.153846153846,0.0,0.153846153846,0.230769230769,0.0769230769231,0,0,0,2,0,3,-1,-1.0,1.0
0.0,0.2,0.0,0.4,0.0,0,0,0,0,1,2,0,-1.0,1.0
0.333333333333,0.0,0.0,0.333333333333,0.0,0,0,0,1,0,1,0,-1.0,1.0
0.153846153846,0.153846153846,0.0,0.153846153846,0.0769230769231,1,0,1,2,2,2,1,-1.0,1.0
0.0,0.142857142857,0.0714285714286,0.357142857143,0.0,0,0,0,0,2,5,-1,-1.0,1.0
0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,3,0,-1.0,1.0
0.0,0.0,0.0,0.4,0.2,0,0,0,0,0,2,1,-1.0,1.0
0.25,0.125,0.0,0.0,0.125,1,1,1,2,1,0,1,-1.0,1.0
0.0,0.0714285714286,0.0,0.0714285714286,0.0,1,0,1,0,1,1,0,-1.0,1.0
0.0,0.0666666666667,0.0,0.133333333333,0.0,1,1,1,0,1,2,0,-1.0,1.0
0.0714285714286,0.0714285714286,0.0,0.142857142857,0.0,0,0,0,1,1,2,0,-1.0,1.0
0.0769230769231,0.153846153846,0.0,0.153846153846,0.0,0,0,0,1,2,2,0,-1.0,1.0
0.25,0.0,0.125,0.25,0.125,0,0,0,2,0,2,0,-1.0,1.0
0.0,0.0,0.0,0.5,0.0,0,0,0,0,0,1,0,-1.0,1.0
0.0,0.0526315789474,0.0,0.421052631579,0.0,0,0,0,0,1,8,0,-1.0,1.0
0.0,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1.0,1.0
0.0,0.166666666667,0.0,0.0,0.0,1,1,1,0,1,0,0,-1.0,1.0
0.142857142857,0.0714285714286,0.0,0.285714285714,0.0,1,0,1,2,1,4,0,-1.0,-1.0
